"Line","Ref","DocType","QAdeter","QAmeas","year","workerID","Trade_raw","Task_raw","Tool_raw","Tool_make","Material_raw","percSI_ref","percSI_mat","percQuartz_mat","percCrist_mat","percTrid_mat","percTrip_mat","Mat_ana","Trade","Task","Material","Tool","Site_class","Site_type","Agent","NbMeas","AM","ASD","GM","GSD","est_GM","est_GM_meth","est_GSD","est_GSD_meth","Min","P5","P10","Med","P90","P95","Max","Other_stat","Other_stat_def","Type","Association","IDassociation","Association_detail","Raw_measurement","Sampling_time","Sampling_time2","Objective","Calc_meas","IDCalc","OEL","Adj_OEL","Sampling_meth","Analysis_type","Analysis_meth","Analysis_detail","LOD","Environnement","SourceProx","Contribution","Contribution_detail","Formation","ControlNotAPR","GenVent","ExhVent_proxim","ExhVent_tool","Wet_spray","Wet_tool","isoSrc","Other_control","control_detail","RPEused","RPEtype","RPE_remark","remark"
"4104","ID1137","6","6","6","1993","ID1137_04","Do not know","Cut brick/concrete/stone","Walk behind saw","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","43","32","5","27","7","4","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.05","545","4","4","0.05","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","5","4","4","4","4","5","4","4",NA,"4","2",NA,NA
"4105","ID1137","6","6","6","1993","ID1137_04","Do not know","Cut brick/concrete/stone","Walk behind saw","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","43","32","5","27","7","4","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","240","4","4","0.02","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","5","4","4","4","4","5","4","4",NA,"4","2",NA,NA
"4106","ID1137","6","6","6","1993","ID1137_05","Do not know","Cut brick/concrete/stone","Walk behind saw","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","18-24","0","Not specified_Non précisé","Not specified_Non précisé","4","43","32","5","27","7","4","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.05","242","4","4","0.05","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","5","4","4","4","4","5","4","4",NA,"4","2",NA,NA
"4107","ID1138","6","6","6","1993","ID1138_01","Heavy equipment operator","Concrete drilling","Backhoe","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","62","25","5","13","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.49","206","4","4","0.49","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","4",NA,NA
"4108","ID1138","6","6","6","1993","ID1138_01","Heavy equipment operator","Concrete drilling","Backhoe","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","62","25","5","13","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.76","201","4","4","0.76","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","4",NA,NA
"4109","ID1138","6","6","6","1993","ID1138_01","Heavy equipment operator","Concrete drilling","Backhoe","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","62","25","5","13","7","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","201","4","4","0.04","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","4",NA,NA
"4110","ID1138","6","6","6","1993","ID1138_01","Heavy equipment operator","Concrete drilling","Backhoe","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","62","25","5","13","7","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","206","4","4","0.04","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","4",NA,NA
"4111","ID1138","6","6","6","1993","ID1138_02","Heavy equipment operator","Concrete drilling","Backhoe","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","62","25","5","13","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"0.9","209","4","4","0.9","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","5",NA,NA
"4112","ID1138","6","6","6","1993","ID1138_02","Heavy equipment operator","Concrete drilling","Backhoe","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","62","25","5","13","7","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"1.59","185","4","4","1.59","4","-2","-2","4","4","4",NA,"0.02","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","5",NA,NA
"4113","ID1138","6","6","6","1993","ID1138_02","Heavy equipment operator","Concrete drilling","Backhoe","Not specified_Non précisé","Concrete","5","Not applicable_Sans objet","19-28","0","Not specified_Non précisé","Not specified_Non précisé","4","62","25","5","13","7","5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4",NA,NA,"-1","185","4","4","0.05","4","-2","-2","4","5","5",NA,"0.01","11","5","1",NA,"1","4","4","4","4","4","4","4","4",NA,"5","5",NA,NA
